key,place,geonames_url,gnd_url,lat,lon,source
name:Schwarzburg,Schwarzburg,https://www.geonames.org/2835105,,50.64304,11.19189,bestand
https://www.geonames.org/2835105,Schwarzburg,https://www.geonames.org/2835105,,50.64304,11.19189,bestand
name:Schwäbisch Hall,Schwäbisch Hall,https://www.geonames.org/2835481,,49.11127,9.73908,bestand
https://www.geonames.org/2835481,Schwäbisch Hall,https://www.geonames.org/2835481,,49.11127,9.73908,bestand
name:Schönewerda,Schönewerda,https://www.geonames.org/2836676,,51.32353,11.36621,bestand
https://www.geonames.org/2836676,Schönewerda,https://www.geonames.org/2836676,,51.32353,11.36621,bestand
name:Schönhausen (Elbe),Schönhausen (Elbe),https://www.geonames.org/6549545,,52.5833,12.0333,bestand
https://www.geonames.org/6549545,Schönhausen (Elbe),https://www.geonames.org/6549545,,52.5833,12.0333,bestand
name:Siebeneichen bei Meißen,Siebeneichen bei Meißen,https://www.geonames.org/10629721,,51.1483,13.48132,bestand
https://www.geonames.org/10629721,Siebeneichen bei Meißen,https://www.geonames.org/10629721,,51.1483,13.48132,bestand
name:Stadtilm,Stadtilm,https://www.geonames.org/2829765,,50.77596,11.08262,bestand
https://www.geonames.org/2829765,Stadtilm,https://www.geonames.org/2829765,,50.77596,11.08262,bestand
https://d-nb.info/gnd/2084741-5,"Steinau, Oder",,https://d-nb.info/gnd/2084741-5,51.4091111,16.4218147,bestand
"name:Steinau, Oder","Steinau, Oder",,https://d-nb.info/gnd/2084741-5,51.4091111,16.4218147,bestand
name:Stettin,Stettin,https://www.geonames.org/3083829,,53.42894,14.55302,bestand
https://www.geonames.org/3083829,Stettin,https://www.geonames.org/3083829,,53.42894,14.55302,bestand
name:Stolp,Stolp,https://www.geonames.org/3085450,,54.46405,17.02872,bestand
https://www.geonames.org/3085450,Stolp,https://www.geonames.org/3085450,,54.46405,17.02872,bestand
https://www.geonames.org/2826532,Stolpen,https://www.geonames.org/2826532,,51.04901,14.07943,bestand
name:Stolpen,Stolpen,https://www.geonames.org/2826532,,51.04901,14.07943,bestand
https://www.geonames.org/2826287,Stralsund,https://www.geonames.org/2826287,,54.30911,13.0818,bestand
